,loss,accuracy,val_loss,val_accuracy
151,0.4639323055744171,0.8529977798461914,0.9686586856842041,0.7006464600563049
152,0.4556068480014801,0.8541820645332336,0.9737502336502075,0.6991546750068665
153,0.45339831709861755,0.8541820645332336,0.9531823396682739,0.704127311706543
154,0.4526691436767578,0.8529977798461914,0.9894338846206665,0.6946792602539062
155,0.445605605840683,0.8543301224708557,1.0069594383239746,0.7125808000564575
156,0.4442920684814453,0.8538860082626343,1.0005444288253784,0.6916956901550293
157,0.4461892247200012,0.852701723575592,1.0410118103027344,0.6598706841468811
158,0.43746885657310486,0.8538860082626343,0.9960060119628906,0.6971656084060669
159,0.4316557049751282,0.8546261787414551,0.9667412042617798,0.6966683268547058
160,0.4316835403442383,0.8537379503250122,1.0685757398605347,0.6713078022003174
161,0.42688149213790894,0.8541820645332336,1.0446569919586182,0.6797612905502319
162,0.4252905249595642,0.8540340662002563,1.0188580751419067,0.6887120604515076
163,0.4204265773296356,0.8544781804084778,1.0638731718063354,0.6882148385047913
164,0.4208928644657135,0.8544781804084778,0.9500890374183655,0.704127311706543
165,0.41549405455589294,0.8541820645332336,0.7846415042877197,0.7618100643157959
166,0.4117462635040283,0.8546261787414551,0.8622071743011475,0.7613127827644348
167,0.41136032342910767,0.8540340662002563,0.8246940970420837,0.7637991309165955
168,0.40871405601501465,0.8541820645332336,0.8947117328643799,0.734957754611969
169,0.404606431722641,0.8546261787414551,0.8734446167945862,0.7463948130607605
170,0.39969539642333984,0.8549222946166992,0.8319989442825317,0.7568373680114746
171,0.40721625089645386,0.85255366563797,0.8292252421379089,0.7454003095626831
172,0.40186309814453125,0.8535899519920349,0.8684841394424438,0.731476902961731
173,0.394635945558548,0.8543301224708557,0.9295916557312012,0.731476902961731
174,0.39286115765571594,0.8541820645332336,0.957944393157959,0.7329686880111694
175,0.3967553973197937,0.8522576093673706,0.9703661203384399,0.7274987697601318
176,0.3874966502189636,0.8543301224708557,0.9312189817428589,0.7284932732582092
