epoch,train_loss,eval_loss,eval_top1,eval_top5
0,7.602296873980912,7.011675381641554,7.123975651937914,57.40153312884781
1,2.704721609177572,6.939308047515199,7.057890561280539,57.3090140644974
2,1.831439798059016,6.835761961406291,7.044673538006332,57.454401264800744
3,1.5862592660993444,6.729579698651864,6.899286239133951,57.61300561266099
4,1.5145167643843145,6.612863055114988,6.925720289967976,57.85091199302623
5,1.4571469847906366,6.476306420169178,6.872852141158215,58.07560127726189
6,1.3506542543211568,6.325146006806767,6.793550040083463,58.18133741631383
7,1.3798293561711639,6.142949853786678,6.740681942701024,58.44567802322311
8,1.3141305836099149,5.960838888613535,6.648162801209626,58.71001836467665
9,1.3127402949419262,5.779046990648956,6.529209613169812,58.97435902729887
10,1.3159857760267568,5.602799014505683,6.529209591741761,59.119746296171975
11,1.2757039321889085,5.4388645544210945,6.67459685632926,59.25191643891623
12,1.2412186908377638,5.271820996067936,6.6745968220443785,59.30478470772308
13,1.244865643418653,5.108169462893207,6.701030890020844,59.75416321619585
14,1.2286118658441068,4.956430288461538,6.806767106213773,60.19032499710151
15,1.2196728270837116,4.810775075171821,6.965371458359632,60.61326970254937
16,1.2126583097643802,4.66651590999207,7.150409698486328,61.07586550428979
17,1.2185093304310464,4.545469658670368,7.322231065335174,61.564895395434725
18,1.190611459503105,4.428449952914353,7.480835370339321,61.697065619605574
19,1.208485224617087,4.310506088091461,7.639439636772977,61.85566987746801
20,1.1887042477242784,4.197590887688342,7.8641290110064475,62.19931228924075
21,1.1724903673901885,4.068528201823949,8.154903514467785,62.10679317774862
22,1.1964661571523343,3.9338343411313774,8.49854611102595,62.04070811709052
23,1.1918237327668642,3.8066091313111285,8.78932067020022,62.133227378074814
24,1.1769683632179289,3.702297129014671,9.040444125266987,62.18609558259751
25,1.2165729323879475,3.595456080243854,9.42373770593557,61.98784015634342
26,1.179485585500187,3.498845059311393,10.018503628992196,62.397567834483546
27,1.1741175025378754,3.3970670082441186,10.520750680550865,62.86016349908444
28,1.1530450141386865,3.3039076439829502,10.95691240145799,63.40206169760671
29,1.1881701391096149,3.220674212761036,11.419508348909156,64.08934707071867
30,1.1828335491328463,3.1397535025112346,11.829236224691545,64.56516017328958
31,1.16801741966702,3.0484795001899947,12.344700063815862,65.17314287534064
32,1.177777099049909,2.9539626804949775,12.754427888170929,65.91329623869478
33,1.1522632839447324,2.864673684080095,13.256674635451274,66.98387528247314
34,1.1353810365019292,2.782871021469403,13.732487331897595,68.34522854257695
35,1.1546384180065528,2.697026453666072,13.996827883093943,70.420301333767
36,1.1299878279224629,2.6145509361369945,14.380121480904966,72.62754438769839
37,1.1293433915406788,2.526052895973764,14.855934310205203,75.01982588318016
38,1.147325079363606,2.4415127348086836,15.503568481522958,77.58392798695778
39,1.147463679744018,2.3527105998463522,16.41554309172886,79.98942606858151
40,1.1305022958383664,2.2609541245374043,17.65794340807264,81.73407319220418
41,1.1166162921203173,2.167219548700601,19.243986317571306,83.39941843331822
42,1.118461179819348,2.0760757159909464,22.164948510077465,85.50092556676378
43,1.1378991612458487,1.9909200726316747,24.438276516770422,87.54956403284075
44,1.1177314696329166,1.9028043451997423,27.24028546375917,89.30742773831977
45,1.119867289539709,1.8176449587381047,30.081945561492944,90.7613001013445
46,1.1186907960619736,1.7329393266339546,33.3862014486145,92.0037003834034
47,1.0879605302741813,1.6512631550687284,37.02088296044733,93.08749643759913
48,1.109134716892931,1.5710524080797317,40.906687511642744,94.1316414434003
49,1.1071393896526378,1.4946619488088158,45.056832939236685,94.96431397395949
50,1.0854614544861583,1.4182185375466727,48.82368457667134,95.5722970360018
51,1.1252296999473435,1.3440653886424465,52.246893895608295,96.03489289774076
52,1.0876956390559889,1.2740334599792658,55.72297124386212,96.55035683543412
53,1.089800891893435,1.2047543466453543,59.45017177290366,96.89399955198937
54,1.075324417666838,1.1410319010416667,62.133227367991026,97.22442510384528
55,1.1093416203230297,1.0846287048969072,64.44620654383192,97.54163362814137
56,1.0791350786005978,1.0333397805044773,66.9177899989633,97.79275715177789
57,1.0928723177324564,0.9833099583044211,69.01929667384859,98.0703146619643
58,1.094589463640206,0.9369936486006476,71.06793535420607,98.24213595167215
59,1.0893830088932162,0.8913303166509714,72.69362924693282,98.41395724138002
60,1.0695711152648237,0.8513375266405631,74.12106758055157,98.50647629715922
61,1.0638978405979997,0.8146042204898972,75.46920402309046,98.55934440739848
62,1.0861192388655045,0.7772590945770965,76.72482116128477,98.58577846251812
63,1.0795188236322644,0.7450904049572099,78.03330671828228,98.65186360031721
64,1.0890590260175161,0.7157140213000595,78.9717153750366,98.69151468299665
65,1.0954167522247948,0.6910410555084011,79.72508562023981,98.73116576567611
66,1.0691137124485057,0.6663106363222393,80.5048899377051,98.81046793103502
67,1.065519857707867,0.6451440539399121,81.27147734760766,98.82368495859484
68,1.0639357979977604,0.62332442926724,81.99841358911856,98.86333604127428
69,1.101798130717088,0.6042393506156242,82.51387728681773,98.8765530688341
70,1.0855019576713065,0.5867704048126486,82.98969019325895,98.8765530688341
71,1.0609261619485242,0.5716452138498918,83.45228602071303,98.88977009639392
72,1.0619368228240995,0.5574767001558163,83.94131593757163,98.8765530688341
73,1.057366976023581,0.5447116723742524,84.33782659294175,98.90298712395374
74,1.0850091320512958,0.5349767182259657,84.76077150914078,98.95585523419301
75,1.0829094138386448,0.5257901124402137,85.17049932921024,99.00872334443228
76,1.0653628597190665,0.5164552184913387,85.42162274999212,99.02194037199209
77,1.054878446814816,0.5069102671232735,85.73883117143357,99.00872334443228
